rank,filename,dataset,ssim,hist_corr,edge_density,line_density,combined_score,z_score,after_path,before_path
162,"3FO4IQA36RJD_2134_empty_1.jpg",validation,0.405949,-0.039188,15.925827,6.64,0.183380,-1.51,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IQA36RJD_2134_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IQA36RJD_2134_empty_1.jpg"
163,"3FO4INVN45KE_365398_empty_1.jpg",train,0.320052,0.048171,24.894562,19.14,0.184111,-1.51,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INVN45KE_365398_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INVN45KE_365398_empty_1.jpg"
164,"3FO4INEVLXSA_141_empty_1.jpg",train,0.338736,0.030434,14.622345,15.62,0.184585,-1.50,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INEVLXSA_141_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INEVLXSA_141_empty_1.jpg"
165,"3FO4IIY1OWJS_302076_empty_1.jpg",train,0.391001,-0.021247,13.937531,9.38,0.184877,-1.50,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IIY1OWJS_302076_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IIY1OWJS_302076_empty_1.jpg"
166,"3FO4IEV5U338_22336_empty_1.jpg",train,0.319276,0.052394,20.073624,14.84,0.185835,-1.50,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IEV5U338_22336_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IEV5U338_22336_empty_1.jpg"
167,"3FO4IKYJYJNJ_1280_empty_1.jpg",test,0.298992,0.073539,28.746643,22.27,0.186266,-1.50,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IKYJYJNJ_1280_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IKYJYJNJ_1280_empty_1.jpg"
168,"3FO4IMSLQSQF_445019_empty_1.jpg",train,0.371939,0.003426,22.322617,23.44,0.187682,-1.49,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMSLQSQF_445019_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMSLQSQF_445019_empty_1.jpg"
169,"3FO4IL6W0U23_3476_empty_1.jpg",train,0.306649,0.068764,19.595032,17.19,0.187706,-1.49,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IL6W0U23_3476_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IL6W0U23_3476_empty_1.jpg"
170,"3FO4INFBHF4X_3740_empty_1.jpg",train,0.411267,-0.032756,13.221588,9.38,0.189255,-1.48,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INFBHF4X_3740_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INFBHF4X_3740_empty_1.jpg"
171,"3FO4IMP6G304_844_empty_1.jpg",test,0.329124,0.052647,20.100861,9.38,0.190886,-1.48,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IMP6G304_844_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IMP6G304_844_empty_1.jpg"
172,"3FO4IO14RO3D_977009_empty_1.jpg",validation,0.351701,0.030890,14.583435,9.38,0.191295,-1.48,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IO14RO3D_977009_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IO14RO3D_977009_empty_1.jpg"
173,"3FO4IKHO5QH3_3788_empty_1.jpg",test,0.505118,-0.122236,4.252853,2.73,0.191441,-1.48,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IKHO5QH3_3788_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IKHO5QH3_3788_empty_1.jpg"
174,"3FO4IO3Y4SRA_507_empty_1.jpg",validation,0.544143,-0.160062,10.824738,12.89,0.192041,-1.47,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IO3Y4SRA_507_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IO3Y4SRA_507_empty_1.jpg"
175,"3FO4IH313RQH_81326_empty_1.jpg",train,0.454737,-0.068417,6.404572,4.30,0.193160,-1.47,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IH313RQH_81326_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IH313RQH_81326_empty_1.jpg"
176,"3FO4INFBHF4X_5898_empty_1.jpg",train,0.402623,-0.015550,11.505661,9.38,0.193537,-1.47,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INFBHF4X_5898_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INFBHF4X_5898_empty_1.jpg"
177,"3FO4IQ0TJGIO_159_empty_1.jpg",validation,0.567781,-0.179595,37.092819,53.52,0.194093,-1.47,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IQ0TJGIO_159_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IQ0TJGIO_159_empty_1.jpg"
178,"3FO4IO9QOQ5O_702190_empty_1.jpg",train,0.313214,0.076716,8.614655,8.59,0.194965,-1.46,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO9QOQ5O_702190_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO9QOQ5O_702190_empty_1.jpg"
179,"3FO4IPKSTLNS_141_empty_1.jpg",test,0.466751,-0.074874,31.882782,30.86,0.195938,-1.46,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IPKSTLNS_141_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IPKSTLNS_141_empty_1.jpg"
180,"3FO4IO3X58CX_291_empty_1.jpg",train,0.452289,-0.059451,23.914032,21.48,0.196419,-1.46,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO3X58CX_291_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO3X58CX_291_empty_1.jpg"
181,"3FO4IP84139O_1793_empty_1.jpg",train,0.382325,0.012474,11.649628,10.94,0.197400,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IP84139O_1793_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IP84139O_1793_empty_1.jpg"
182,"3FO4IJWD3B3X_834325_empty_1.jpg",train,0.422215,-0.027382,9.890900,6.25,0.197416,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJWD3B3X_834325_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJWD3B3X_834325_empty_1.jpg"
183,"3FO4IO3UGYX2_507_empty_1.jpg",validation,0.306215,0.089974,33.112335,38.28,0.198095,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IO3UGYX2_507_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IO3UGYX2_507_empty_1.jpg"
184,"3FO4IPB6NMPG_288_empty_1.jpg",train,0.345995,0.050547,6.778107,6.25,0.198271,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IPB6NMPG_288_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IPB6NMPG_288_empty_1.jpg"
185,"3FO4IOF7SVT8_755809_empty_1.jpg",train,0.574898,-0.177882,2.007751,2.34,0.198508,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOF7SVT8_755809_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOF7SVT8_755809_empty_1.jpg"
186,"3FO4IL8X6HXY_540_empty_1.jpg",train,0.627557,-0.230005,23.170853,17.97,0.198776,-1.45,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IL8X6HXY_540_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IL8X6HXY_540_empty_1.jpg"
187,"3FO4IQ9SEUJ4_373330_empty_1.jpg",validation,0.330658,0.073180,15.801315,10.94,0.201919,-1.43,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IQ9SEUJ4_373330_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IQ9SEUJ4_373330_empty_1.jpg"
188,"3FO4IOAPCDLV_282_empty_1.jpg",train,0.504703,-0.097669,30.680466,25.78,0.203517,-1.43,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOAPCDLV_282_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOAPCDLV_282_empty_1.jpg"
189,"3FO4INNBD21J_678308_empty_1.jpg",train,0.450435,-0.042523,5.396805,3.12,0.203956,-1.43,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INNBD21J_678308_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INNBD21J_678308_empty_1.jpg"
190,"3FO4IIOCR1VX_168_empty_1.jpg",train,0.609398,-0.198932,24.583282,21.09,0.205233,-1.42,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IIOCR1VX_168_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IIOCR1VX_168_empty_1.jpg"
191,"3FO4IJ6XFKVI_222_empty_1.jpg",test,0.368100,0.043900,19.692307,10.94,0.206000,-1.42,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IJ6XFKVI_222_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IJ6XFKVI_222_empty_1.jpg"
192,"3FO4IL26JVL6_275_empty_1.jpg",validation,0.345916,0.066881,45.271683,54.30,0.206399,-1.42,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IL26JVL6_275_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IL26JVL6_275_empty_1.jpg"
193,"3FO4IN22PYYK_649_empty_1.jpg",train,0.303589,0.113385,20.388794,24.22,0.208487,-1.41,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IN22PYYK_649_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IN22PYYK_649_empty_1.jpg"
194,"3FO4IM7TTP0E_272_empty_1.jpg",test,0.386630,0.030562,24.482117,14.06,0.208596,-1.41,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IM7TTP0E_272_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IM7TTP0E_272_empty_1.jpg"
195,"3FO4IIUQOSK0_591602_empty_1.jpg",test,0.431837,-0.014012,15.462799,10.94,0.208913,-1.41,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IIUQOSK0_591602_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IIUQOSK0_591602_empty_1.jpg"
196,"3FO4IPE8AJYK_1020_empty_1.jpg",train,0.370944,0.050486,13.692398,11.33,0.210715,-1.40,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IPE8AJYK_1020_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IPE8AJYK_1020_empty_1.jpg"
197,"3FO4IL6HSL8D_574_empty_1.jpg",train,0.573879,-0.151515,2.081680,1.17,0.211182,-1.40,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IL6HSL8D_574_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IL6HSL8D_574_empty_1.jpg"
198,"3FO4IJM3YPQ1_912_empty_1.jpg",train,0.291189,0.131385,28.571548,26.95,0.211287,-1.40,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJM3YPQ1_912_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJM3YPQ1_912_empty_1.jpg"
199,"3FO4IORK2RMU_166046_empty_1.jpg",train,0.573100,-0.150052,30.435333,39.45,0.211524,-1.40,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IORK2RMU_166046_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IORK2RMU_166046_empty_1.jpg"
200,"3FO4IGX3E6TP_543_empty_1.jpg",train,0.420604,0.005755,22.458801,14.84,0.213179,-1.39,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IGX3E6TP_543_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IGX3E6TP_543_empty_1.jpg"
201,"3FO4IO3YR2TX_170_empty_1.jpg",train,0.466084,-0.035789,19.489975,14.06,0.215148,-1.38,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO3YR2TX_170_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO3YR2TX_170_empty_1.jpg"
202,"3FO4IM6J9AN9_2719_empty_1.jpg",validation,0.322742,0.108507,36.085052,51.17,0.215625,-1.38,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IM6J9AN9_2719_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IM6J9AN9_2719_empty_1.jpg"
203,"3FO4IMIU2TCT_11528_empty_1.jpg",train,0.368986,0.065265,18.700104,13.28,0.217125,-1.38,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMIU2TCT_11528_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMIU2TCT_11528_empty_1.jpg"
204,"3FO4IQAARQBW_413_empty_1.jpg",train,0.487197,-0.052816,1.459122,1.56,0.217191,-1.37,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQAARQBW_413_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQAARQBW_413_empty_1.jpg"
205,"3FO4IK9ICSSH_624_empty_1.jpg",train,0.361448,0.078234,13.914185,10.55,0.219841,-1.36,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IK9ICSSH_624_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IK9ICSSH_624_empty_1.jpg"
206,"3FO4IQ8BGR3D_790623_empty_1.jpg",train,0.303286,0.138239,31.061783,29.69,0.220763,-1.36,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ8BGR3D_790623_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ8BGR3D_790623_empty_1.jpg"
207,"3FO4IPSEHEOI_365460_empty_1.jpg",train,0.404539,0.038694,12.727432,14.45,0.221617,-1.36,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IPSEHEOI_365460_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IPSEHEOI_365460_empty_1.jpg"
208,"3FO4IO4EL0O5_79_empty_1.jpg",train,0.411365,0.033255,22.342072,11.72,0.222310,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO4EL0O5_79_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO4EL0O5_79_empty_1.jpg"
209,"3FO4IINAIHH3_1142_empty_1.jpg",test,0.372323,0.072458,43.112183,51.95,0.222390,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IINAIHH3_1142_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IINAIHH3_1142_empty_1.jpg"
210,"3FO4IMY7WP7T_504718_empty_1.jpg",train,0.402615,0.042451,30.723267,25.78,0.222533,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMY7WP7T_504718_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMY7WP7T_504718_empty_1.jpg"
211,"3FO4IQ3ROUMG_4633_empty_1.jpg",train,0.533895,-0.088299,11.622391,8.59,0.222798,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ3ROUMG_4633_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ3ROUMG_4633_empty_1.jpg"
212,"3FO4IG8HNTJ2_12686_empty_1.jpg",train,0.422393,0.023306,7.439575,3.91,0.222849,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IG8HNTJ2_12686_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IG8HNTJ2_12686_empty_1.jpg"
213,"3FO4IMIU2TCT_1732_empty_1.jpg",train,0.610878,-0.164479,7.462921,6.64,0.223199,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMIU2TCT_1732_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMIU2TCT_1732_empty_1.jpg"
214,"3FO4IN1CIJGN_174_empty_1.jpg",train,0.373322,0.075165,12.855835,10.55,0.224243,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IN1CIJGN_174_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IN1CIJGN_174_empty_1.jpg"
215,"3FO4IP35MVGU_139814_empty_1.jpg",validation,0.345853,0.103187,19.190369,12.11,0.224520,-1.35,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IP35MVGU_139814_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IP35MVGU_139814_empty_1.jpg"
216,"3FO4IEBKLDUD_947_empty_1.jpg",train,0.555681,-0.106013,20.945206,15.23,0.224834,-1.34,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IEBKLDUD_947_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IEBKLDUD_947_empty_1.jpg"
217,"3FO4IOW3CR9P_1163_empty_1.jpg",validation,0.555150,-0.102317,36.372986,39.84,0.226417,-1.34,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IOW3CR9P_1163_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IOW3CR9P_1163_empty_1.jpg"
218,"3FO4IQEX0ATW_559321_empty_1.jpg",train,0.344776,0.108069,18.544464,17.19,0.226422,-1.34,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQEX0ATW_559321_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQEX0ATW_559321_empty_1.jpg"
219,"3FO4IO9QOJGM_997021_empty_1.jpg",validation,0.546516,-0.093582,23.610535,19.92,0.226467,-1.34,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IO9QOJGM_997021_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IO9QOJGM_997021_empty_1.jpg"
220,"3FO4IMWOXYKF_366627_empty_1.jpg",train,0.281246,0.174559,45.454559,53.12,0.227903,-1.33,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMWOXYKF_366627_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMWOXYKF_366627_empty_1.jpg"
221,"3FO4IK9I8BN5_1184_empty_1.jpg",train,0.545569,-0.089006,4.529114,4.30,0.228281,-1.33,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IK9I8BN5_1184_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IK9I8BN5_1184_empty_1.jpg"
222,"3FO4ILE592OT_857_empty_1.jpg",train,0.414136,0.043041,22.559967,14.84,0.228588,-1.33,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4ILE592OT_857_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4ILE592OT_857_empty_1.jpg"
223,"3FO4IPBL5TA5_815_empty_1.jpg",train,0.596685,-0.138537,33.532562,35.16,0.229074,-1.33,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IPBL5TA5_815_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IPBL5TA5_815_empty_1.jpg"
224,"3FO4IOH0V0PB_857_empty_1.jpg",train,0.406792,0.054707,15.151520,15.23,0.230749,-1.32,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOH0V0PB_857_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOH0V0PB_857_empty_1.jpg"
225,"3FO4IM2NMBUK_69758_empty_1.jpg",validation,0.512706,-0.047184,13.287735,10.55,0.232761,-1.31,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IM2NMBUK_69758_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IM2NMBUK_69758_empty_1.jpg"
226,"3FO4IFXP4DIC_2712712713811802_empty_1.jpg",train,0.356890,0.110126,22.318726,20.70,0.233508,-1.31,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IFXP4DIC_2712712713811802_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IFXP4DIC_2712712713811802_empty_1.jpg"
227,"3FO4IJ6JSKWU_272_empty_1.jpg",train,0.409962,0.060406,14.233246,7.81,0.235184,-1.30,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJ6JSKWU_272_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJ6JSKWU_272_empty_1.jpg"
228,"3FO4IQ3ROUMG_915817_empty_1.jpg",train,0.361034,0.112928,27.637711,22.27,0.236981,-1.30,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ3ROUMG_915817_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ3ROUMG_915817_empty_1.jpg"
229,"3FO4IO14RO3D_979329_empty_1.jpg",train,0.411485,0.065000,20.583344,19.53,0.238243,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO14RO3D_979329_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO14RO3D_979329_empty_1.jpg"
230,"3FO4IK9ICSSH_1516_empty_1.jpg",validation,0.383553,0.093310,23.571625,15.62,0.238431,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IK9ICSSH_1516_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IK9ICSSH_1516_empty_1.jpg"
231,"3FO4IO9QP7UT_1318_empty_1.jpg",train,0.435835,0.042780,55.178146,95.70,0.239307,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO9QP7UT_1318_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO9QP7UT_1318_empty_1.jpg"
232,"3FO4IPE8AJYK_314_empty_1.jpg",train,0.561572,-0.082698,11.750793,9.38,0.239437,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IPE8AJYK_314_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IPE8AJYK_314_empty_1.jpg"
233,"3FO4IHQF6Y0C_219_empty_1.jpg",validation,0.443195,0.035688,17.906342,8.59,0.239442,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IHQF6Y0C_219_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IHQF6Y0C_219_empty_1.jpg"
234,"3FO4IGUI61O7_2115_empty_1.jpg",train,0.401938,0.077360,13.124313,8.59,0.239649,-1.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IGUI61O7_2115_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IGUI61O7_2115_empty_1.jpg"
235,"3FO4IM906RTP_858220_empty_1.jpg",train,0.547829,-0.067284,4.373474,3.12,0.240272,-1.28,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IM906RTP_858220_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IM906RTP_858220_empty_1.jpg"
236,"3FO4IQBRTU7U_598_empty_1.jpg",train,0.448504,0.038529,7.007675,6.25,0.243516,-1.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQBRTU7U_598_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQBRTU7U_598_empty_1.jpg"
237,"3FO4IQ2K719H_28623_empty_1.jpg",train,0.532537,-0.045500,24.925690,18.75,0.243519,-1.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ2K719H_28623_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ2K719H_28623_empty_1.jpg"
238,"3FO4IJ00TK73_887129_empty_1.jpg",test,0.447004,0.040687,12.945328,5.47,0.243845,-1.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IJ00TK73_887129_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IJ00TK73_887129_empty_1.jpg"
239,"3FO4IIYPKGBO_357003_empty_1.jpg",train,0.272903,0.215888,43.555756,61.72,0.244395,-1.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IIYPKGBO_357003_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IIYPKGBO_357003_empty_1.jpg"
240,"3FO4IM7MEA5I_436_empty_1.jpg",train,0.472730,0.016799,11.093216,8.20,0.244764,-1.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IM7MEA5I_436_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IM7MEA5I_436_empty_1.jpg"
241,"3FO4IMGTSS7E_1419_empty_1.jpg",train,0.470099,0.023179,1.657562,0.78,0.246639,-1.26,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMGTSS7E_1419_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMGTSS7E_1419_empty_1.jpg"
242,"3FO4IQ9AGT8A_491831_empty_1.jpg",train,0.598883,-0.105095,27.213593,25.78,0.246894,-1.26,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ9AGT8A_491831_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ9AGT8A_491831_empty_1.jpg"
